cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
GE-InN-6,MEIS2,3.43927658403662e-232,2.67571165757003,0.997,0.469,1.01035628209244e-227,GE
GE-InN-6,GALNTL6,5.71310287716025e-217,3.90625904155888,0.46,0.053,1.67833823222337e-212,GE
GE-InN-6,MAML3,1.35607208632085e-214,2.37779897884127,0.949,0.331,3.98373296798475e-210,GE
GE-InN-6,SIX3,4.74681897053556e-205,1.72910777138073,0.558,0.086,1.39447300897423e-200,GE
GE-InN-6,LHFPL6,5.33866456907311e-173,2.53721956664382,0.738,0.198,1.56833949045661e-168,GE
GE-InN-6,PLEKHH2,8.36304222759597e-169,2.11080500266398,0.434,0.059,2.45681091520087e-164,GE
GE-InN-6,KCNIP1,1.2770268919764e-168,1.65546553363849,0.62,0.124,3.75152190055908e-164,GE
GE-InN-6,GRIA2,3.16313978887318e-165,1.45672907000056,0.648,0.133,9.29235575777274e-161,GE
GE-InN-6,SORBS2,3.93945803862215e-165,2.09550711459323,0.805,0.266,1.15729458800603e-160,GE
GE-InN-6,AC068931.1,8.55954125770392e-165,1.29726307931072,0.442,0.062,2.51453643527568e-160,GE
GE-InN-6,KIRREL1,3.09480258521195e-151,1.07439824988756,0.434,0.064,9.09160155457715e-147,GE
GE-InN-6,ZFHX3,3.53863658521905e-151,3.27264567644434,0.879,0.409,1.0395452696398e-146,GE
GE-InN-6,TSPAN9,1.80114168189901e-144,1.21717123767931,0.522,0.098,5.29121391891473e-140,GE
GE-InN-6,MPPED2,2.67734438718662e-140,1.89010654146134,0.979,0.61,7.86523460623814e-136,GE
GE-InN-7,AC022433.1,0.0,3.63272230841515,0.866,0.016,0.0,GE
GE-InN-7,LRMDA,0.0,3.6317073399229,0.828,0.039,0.0,GE
GE-InN-7,ISL1,0.0,2.00042003014141,0.627,0.011,0.0,GE
GE-InN-7,LINC00581,0.0,1.65103975263288,0.545,0.016,0.0,GE
GE-InN-7,AC136424.2,0.0,0.815415769155515,0.321,0.001,0.0,GE
GE-InN-7,RYR2,1.18438518638483e-284,3.46208831757998,0.701,0.038,3.47936836204271e-280,GE
GE-InN-7,AC092422.1,8.24986636752543e-262,2.58555486948146,0.582,0.027,2.42356324278795e-257,GE
GE-InN-7,STK32A,1.1755138974594e-261,1.45973012132895,0.418,0.012,3.45330717656647e-257,GE
GE-InN-7,ZNF503,2.07036645752208e-234,1.72284578240806,0.478,0.019,6.08211554226261e-230,GE
GE-InN-7,EBF1,4.65751856261142e-216,4.97767876049125,0.694,0.054,1.36823922813836e-211,GE
GE-InN-7,AL596451.1,1.2517681589114e-204,0.973430558822392,0.336,0.01,3.67731932043401e-200,GE
GE-InN-7,RAPGEF5,2.3388787561838e-198,1.01308616882683,0.381,0.014,6.87092412204116e-194,GE
